lat,lon,disc
33.079344,-117.058686,DESTROYAH
33.079929,-117.057926,JUDGEY-JOY
33.079936,-117.057802,JUDGEY-JOY
33.079720,-117.057621,DESTROYAH
33.078944,-117.057828,JUDGEY-JOY
33.079217,-117.057367,BIG-PINK
33.079214,-117.057326,BIG-PINK
33.080416,-117.057100,BUZZZY-BOY
33.080701,-117.057536,JUDGEY-JOY
33.080474,-117.057724,BIG-PINK
33.079645,-117.058337,BUZZZY-BOY
33.079439,-117.058868,JUDGEY-JOY
33.079428,-117.058800,JUDGEY-JOY
33.079295,-117.059267,DESTROYAH
33.079140,-117.060203,JUDGEY-JOY
33.080867,-117.061076,DESTROYAH
33.081365,-117.061128,JUDGEY-JOY
33.081350,-117.061020,DESTROYAH
33.081821,-117.061029,BUZZZY-BOY
33.081995,-117.061091,JUDGEY-JOY
33.082225,-117.061022,DESTROYAH
33.082893,-117.060771,JUDGEY-JOY
33.082870,-117.060814,JUDGEY-JOY
33.083915,-117.061269,JUDGEY-JOY
33.084116,-117.061296,JUDGEY-JOY
33.084477,-117.061322,BIG-PINK
33.083658,-117.061615,JUDGEY-JOY
33.083423,-117.061852,BIG-PINK
33.083755,-117.061582,BIG-PINK
33.084588,-117.061331,BIG-PINK
33.084588,-117.061345,JUDGEY-JOY
33.084843,-117.061516,JUDGEY-JOY
33.084741,-117.061988,DESTROYAH
33.083882,-117.062365,JUDGEY-JOY
33.083950,-117.062322,JUDGEY-JOY
33.083751,-117.062269,DESTROYAH
33.082914,-117.061834,JUDGEY-JOY
33.082478,-117.061413,BIG-PINK
33.081368,-117.061402,JUDGEY-JOY
33.081506,-117.061293,JUDGEY-JOY
33.081791,-117.061594,DESTROYAH
33.081056,-117.061697,JUDGEY-JOY
33.081095,-117.061754,JUDGEY-JOY
33.081220,-117.062068,BIG-PINK
33.080485,-117.062625,JUDGEY-JOY
33.080499,-117.062528,JUDGEY-JOY
33.080540,-117.062256,BIG-PINK
33.080193,-117.062435,JUDGEY-JOY
33.079873,-117.062578,JUDGEY-JOY
33.079565,-117.062488,BIG-PINK
33.079341,-117.061433,JUDGEY-JOY
33.079527,-117.061276,JUDGEY-JOY
