hole,variation,lat,lon
1,A,33.079936,-117.057793
1,B,33.080083,-117.0576
1,C,33.079653,-117.05775
2,A,33.078936,-117.057858
2,B,33.078795,-117.057442
2,C,33.078599,-117.057485
3,A,33.080298,-117.05739
3,B,33.080702,-117.057448
4,A,33.079869,-117.058426
4,B,33.079462,-117.05878
5,A,33.079112,-117.060186
6,A,33.081402,-117.061125
7,A,33.082122,-117.06105
8,A,33.082899,-117.060744
9,A,33.084126,-117.061307
10,A,33.083696,-117.061661
11,A,33.084532,-117.061685
11,B,33.084673,-117.061776
11,C,33.084811,-117.061664
12,A,33.084051,-117.062324
12,B,33.083887,-117.062243
13,A,33.082782,-117.062002
13,B,33.082853,-117.061807
13,C,33.082548,-117.062077
14,A,33.08173,-117.06125
14,B,33.081161,-117.061275
15,A,33.081031,-117.061776
16,A,33.080501,-117.062514
16,B,33.080606,-117.062871
17,A,33.079835,-117.062358
17,B,33.079912,-117.06257
18,A,33.079357,-117.061446
18,B,33.079534,-117.061299
